Sentiment,Review
0,"Maintenance here is ridiculous. My bathroom sink would leak like crazy after the warm water ran for a minute. They told me it was fixed, I'd come home turn the water on and by the time I was done taking my shoes off my bathroom was flooded. My kitchen sink started to leak so they replaced it and now I have next to no water pressure. \n\nThe appearance of this place is getting worse and worse. One example, our pool has been green all summer. \n\nRecently, I signed another lease and my rent for a one bedroom went up over $100 a month. That is disgusting to treat a tenant that way. As if they already aren't making a ton of money already, I got charged $50 because my rent wasn't paid on the 1st that was a holiday! I log on to my account on the 2nd to pay, thinking there wouldn't be a problem since the 1st was a holiday. Nope! $50! No grace period, not willing to work with me. I've never been late, ever! And it was the day after a holiday! I don't understand how they can be so unwilling to see the facts and help me out. \n\nI would never recommend this place to anyone."
1,"I really enjoy smaller more intimate Elite events such as this one because I really get a chance to truly talk, mingle and meet new people. There was ample seating for all, although our reserved Bar Section was packed it didn't feel crowded. Upon arrival everyone was given two coins to try the new Bar drinks; I had the Sauza Gold Coast Rita and the Aussie Rum Punch, YUM! Both drinks were excellent but the Rita edge out the Punch by a slight hair. The main focus of the event was to try the new appetizers which most can be purchased at about $4 once the new menu rolls out. I must admit I wasn't particularly blown away by any of the appetizers they were all just \""okay\"". My favorite of the appetizers were the Coconut Shrimp, they were perfectly fried yet still were moist and had that distinct shrimp flavor which is normally zapped out in the frying process. The most disappointing appetizer of the night were the flatbreads, although the toppings were good the flatbread itself fell short to me, it reminded me more of a cracker than an actual bread. Luckily, the drinks alone are worth coming back for Happy Hour. Once again another successful Elite Event is in the books! Great job Lindsey and a big thank you to the Outback Steakhouse management and staff!"
1,"Looking at their menu, I was a little skeptical about how good their burgers would be, but I was glad that everything went better than expected.\n\nI got the Button Buster and my dinning partner got the Kobe Beef burger.  We requested it medium and medium rare, respectively, and they came out right on point.  Nicely done, brgr.  The best thing about these burgers were the buns.  They did not come out soggy (looks like someone rested their meat before plating!  Yes!), which is a huge bonus in my book.  Soggy buns are disgusting.  Their buns also withstood the manhandling they had to endure while being devoured.  Another huge bonus for not falling apart.\n\nThe shoestring fries weren't the best fries I've ever had, but they were plenty better than school cafeteria fries.  :p\n\nWe also got the daily special milkshake which was vanilla peanut butter.  It was amazing!  Probably one of the better milkshakes I've had in my time."
1,Best sandwiches in Las Vegas! Awesome choices and completely customizable. Don't forget an order of fresh cut potato chips or fries seasoned to your liking. Top it off with a perfect dill pickle... Heaven!
0,"Was upset because they didnt have the Van i reserved, and they offered to give me and SUV- all they had. The SUV was absolutely filthy w food on the floor, n the carpet appeared stained w dark matter and looked disgusting. Had to take it home and clean it myself....however, The outside of the vehicle was washed. When i told the Enterprise clerk about the filthy interior she said they dont detail the interior...use a vacuum/some carpet cleaner!...jeez!! On the positive, the staff was friendly and did discount my rental, and on the return gave me another discount because the seat was broken on the SUV n wouldnt go down. Discounts helped but the gas milage on the SUV killed my pocketbook.  Lesson learned is dont pickup a vehicle at the end of the day...i got stuck w something i didnt want and there was nothing i could do about it, as i was leaving for a trip early in the morning.  Dont think i will rent from this location again."
0,"I can't agree with the other ladies who have posted their experiences.  It's been awhile but the last time I did business with these guys I knew I would never go back.  I took my car in to have the wheels balanced after I had purchased a set of brand new wheels and tires from the internet.  When I mounted the new wheels I was getting a vibration at freeway speeds so I decided to take it to Tire Pros to have the wheels balanced.  They charged me a resonable price since I did not purchase the wheels from them.  When I got home I did a quick walk around the car and that's when I noticed one of my wheels had a piece of metal chipped off right at one of the holes for the lug nuts. I know it wasn't there before because they were brand new.  I called Tire Pros back and told them what I found.  They said to bring it back, which I did.  When I got there the manager said he asked the tech about it and he said the damage was already there!  The manager then said there was nothing they could do about it.  =/  Nothing I dislike more than a dishonest business.  If they admitted to it I would probably be able to forgive and forget but I just want others to know that they aren't the \""Pros\"" their name claims to be."
0,"Okay, here it goes...this may get long winded but I swear it is a truthful and honest review, so please read closely\n\nI lived at Lakeside (formerly known as Lakeside Village) for over 3 years, through 2013 and I saw the old management company Con AM get bought out by another management company called Madrona Ridge. Con Am wasn't the best, but things went downhill when madrona ridge took over.\n\nWhen I first moved here they were literally giving apartments away, they were offering less than $500 per month for a 1 bedroom in a nice part of town, with a lake view, so it was a good deal. For the first 2 years there it was pretty solid, the managers knew my name, they cared about my problems and fixed anything I needed immediately, I'm talking same day service. They were nice people. Con AM and the old managers were nice to me and actually tried to show customer service...unlike the new management.\n\nAround the time Madrona Ridge took over things just got ratty. Loud and creepy people started moving in, bringing all of their loud and creepy friends with them. Supposedly they have a no crime policy and won't rent to criminals, yet the very loud and vocal neighbors loved to talk about their DUI's and jail time. A lot more weirdo people started showing up and walking around at night. I saw a drunk guy smash someone's windshield in a fit of rage and sped off, and someone did a nice hit and run on my car while it was parked...and of course nobody picked up their dog poop...at all. The landscapers didn't care to pick it up, the maintenance guys didn't care, so there it sat.\nMadrona Ridge promised all previous residents even better service than Con Am gave. I was wrapping up a lease when Madrona Ridge took over and they offered me an okay deal, so I stayed. But right after they started to get sloppy and dissapoint. They hired the current girls who manage Lakeside a few months later and their awful service started to show. \n\nThe current staff working here are probably the slowest, rudest, most impersonal women around. These girls Traci and Lucinda are NOT right for this job. They are NOT friendly or easy to deal with at all when you have a question or concern, they are NOT accommodating or welcoming, no smiles, just a bland \""I don't care\"" attitude. If you do anything to displease them or make them think hard they will treat you like dirt. They also won't bother remembering your name or showing you any kind of human service, they'll just call you \""HEY\"" or \""You.\"" Also, if you have a problem or a concern be sure to just walk in and demand to talk because they don't listen to their voicemails or return phone calls. \n\n I've had problems with bugs, repairs, questions, and rarely did they return a call or get anything moving unless you tell them again and again. In the early days when I needed something fixed con-am would have it fixed in a day or two, these girls will make sure it takes over a week if you're lucky. So either get good at fixing your own stuff or be prepared to wait, because as these managers know you aren't that important. Seriously...how hard is it to FAKE customer service? At least try to remember someone's name and care a little bit, a fake smile, anything helps, especially in a SALES position...you kill more flies with honey than vinegar. FYI.\n\nI left when they offered a renewal notice at the end of my lease, they offered me a new lease agreement that was ABSURD and overpriced. The one bedrooms here are 600 square feet, just tiny little run down apartments from the 1980's, and they are now asking $725.00+ per month...that doesn't include taxes, pet rent (if you have em) and utilities. So basically they are charging around $800 per month for a 600 sq. foot hole in the wall in an old crumby complex, when you can go find a nice, NEW, cleaner mark taylor or other luxury apartment for only a few dollars more per month. Uhhh yeah, no thanks lakeside! I did just that and found a better, nicer, newer place for only pennies more than here. \n\n Do not believe the website, it is totally false advertised. What you see online is NOT what you will get in person. What you'll really see are outdated appliances from the 80's, peeling paint, popcorn ceilings, cheap carpeting, tiny closets, and no storage space. \n\nLakeside used to be a lot better, I used to love it at first and I'm grateful for the good times I had while it lasted. The management used to be nicer, the grounds used to be cleaner, and the prices used to be reasonable. This place has delusions of grandeur...the managers think it's a luxury complex and are charging people ridiculous luxury prices for run down, ugly little apartments that are not worth their price tag, and the service you get isn't worth a dollar. \n\nThe area is pretty good and the lake is pretty at night time, there are nice walkways and some handy shops nearby, but honestly look elsewhere if you want both quality and value."
0,"The whole dog theme for a restaurant is bizarre! Peanuts in a dog bowl, dog bone shaped tables, dog related stuff on the walls, but what really killed it for me were the pictures of dogs on the menu. I love dogs, but I don't want to be looking at them  when I'm browsing my menu. The first thing that pops into my head is dog hair, \ndog breathe, and poop....eew!\n\nThe servers are SLOW, don't know the menu and specials, and are not the friendliest. The menu is all over the map. My impression was that this is an \""American Grill\"", but you can order burgers, sliders, Mexican, pasta, and even pizza too....WTH? The only positive thing I have to say about this place is that they have a cool patio with nice fire pits. So unless you're just looking to have a drink and hang out by the fire, stay away from this place.\n\nI used to frequent the Chuy's that was at this location, and that was fun and yummy! If you want dogs and want to be playful, take it to the dog park, not the restaurant."
0,"I have conflicted feelings about Palazzo's and you will soon see why.  Walking in on a Wed night solo, I was greeted by a very warm (albeit empty) old-school Italian restaurant.  I sat and the beautiful marble bar and immediately the cordial bartender Larry, was at my beck and call.  I ordered a Beefeater Gibson martini up, and he seemed very happy to make one; not too many Gibsons are made these days.\n\nHe was very pleasant and made an excellent drink.  Since the place was pretty empty, the manager was also in the bar chatting about Pittsburgh, sports, politics, and also was very friendly.  I went with my order: started with the escarole with beans, followed by a stand-by spaghetti & meatballs.\n\nThe escarole portion was large and almost like a stew; nicely cooked leaves of escarole mixed with a spicy tomato sauce and a good amount of cannellini beans.  It was excellent, satisfying and could well stand as a meal on its own.  I then proceeded to have the worst pasta I've ever had in a restaurant.  The spaghetti tasted and looked like it came from Chef Boyardee.  The sauce was flavorless and bland.  The noodles were cooked light years beyond al dente and were mushy, starchy and awful.  The meatballs were decent, but the pasta was so bad filet mignon couldn't have saved them.\n\nI really want to give Palazzo's another shot since the service, staff, ambience and escarole were fantastic.  But to screw up such a simple and classic dish I am worried about how some of the more complicated items will come out."
1,"Ok so before I came to this place the only other ramen I had eaten was the classic meal of cheap college students, so keep in mind I am in no way an expert on authentic ramen. That said, this place is delicious!! I've had the tonkatsu ramen both times and each time it was great, tried the egg addition once and the extra green onions. I would get the green onions again, the egg was a little much for me. Either way the broth has an amazing smooth creamy like texture for a pork broth, the noodles are cooked perfectly, the service is timely and very polite, and they have some amazing iced oolong tea. I can't wait for it to get cooler out so I can come here even more often."
